Name string,Address string,Apple Maps Url string,Website string,IG Url string,IG string,Lat,Long,PST Instagram,,,
Little Cancun,"17950 W Lake Houston Pkwy, Humble, TX 77346","http://maps.apple.com/?address=17950,W+Lake+Houston+Pkwy,Humble,Texas",http://tacoshumble.com/,https://www.instagram.com/littlecancun/,littlecancun,29.98027,-95.16399,https://www.instagram.com/p/CKCKDhLBTXk/,,,Humble
Gen Korean BBQ House,"3201 Louisiana St, Houston, TX 77006","http://maps.apple.com/?address=3201,Louisiana+Street,Houston,Texas",https://gendelivers.com/,https://www.instagram.com/genkoreanbbqhouse/,genkoreanbbqhouse,29.74286,-95.37955,https://www.instagram.com/p/CJ8u2LYBNLj/,,,MidTown
Cassy's Kitchen,"4515 Mowery Rd, Houston, TX 77047","http://maps.apple.com/?address=4515,Mowery+Road,Houston,Texas",,https://www.instagram.com/cassys_kitchen/,cassys_kitchen,29.63642,-95.35697,https://www.instagram.com/p/CJGmHBFA8PA/,,,Southside
Godfather's Pizza - Humble,"8650 N Sam Houston Pkwy E #110, Humble, TX 77396","http://maps.apple.com/?address=8650,N+Sam+Houston+Pkwy+E,Humble,Texas",https://godfathers.com/home,https://www.instagram.com/godfatherspizza/,godfatherspizza,29.93491,-95.26012,https://www.instagram.com/p/CI0p5xmgU0L/,,,Humble
Godfather's Pizza,"402 W Grand Pkwy S Ste 103, Katy, TX 77494","http://maps.apple.com/?address=402,W+Grand+Pkwy+S,Katy,Texas",https://godfathers.com/home,https://www.instagram.com/godfatherspizza/,godfatherspizza,29.77728,-95.77918,https://www.instagram.com/p/CI0p5xmgU0L/,,,Katy
Joy Love Burgers,"1801 N Mason Road, Katy, TX 77449","http://maps.apple.com/?address=1801,N+Mason+Road,Katy,Texas",https://www.joyloveburgers.com/,,,29.79959,-95.75236,https://www.instagram.com/p/CIqn0UzByTV/,,,
Kaffeine Coffee Houston,"5225 Almeda Rd, Houston, TX 77004","http://maps.apple.com/?address=5225,Almeda+Road,Houston,Texas",https://kaffeine.pickled.space/,https://www.instagram.com/kaffeinecoffeehouston/,kaffeinecoffee,29.72241,-95.37811,https://www.instagram.com/p/CH-iWa3AFGr/,,,Museum park
Screwston's Kitchen,"9300 Westheimer Rd, Houston, TX 77063","http://maps.apple.com/?address=9300,Westheimer+Road,Houston,Texas",https://www.screwstonskitchen.com/,https://www.instagram.com/screwstonskitchen/,screwstonskitchen,29.73830,-95.52724,https://www.instagram.com/p/CH5chaqg1pr/,,,Museum Park
Kamp Houston,"6025 Westheimer Rd, Houston, TX 77057","http://maps.apple.com/?address=6025,Westheimer+Road,Houston,Texas",,https://www.instagram.com/kamphouston/?hl=en,kamphouston,29.74288,-95.49006,https://www.instagram.com/p/CHajMj2g39R/,,,Galleria
La Lupitata Taco Restaurant,"6622 Pinemont Dr, Houston, TX 77092","http://maps.apple.com/?address=6622,Pinemont+Drive,Houston,Texas",https://lalupitatacorestaurant.com/,https://www.instagram.com/lalupitatacorestaurant/,lalupitatacorestaurant,29.84188,-95.48776,https://www.instagram.com/p/CHGVodIgkbb/,,,Northwest
